FITS File Path,Object Type
C:/Users/23rou/Downloads/blackholedata/agns/smbh_CentauriVoid.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_1.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_19.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_30.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_19.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_14.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/smbh_Messier9.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/smbh_CygnusPrime.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_20.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_2.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_11.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_15.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_8.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_5.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_9.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_8.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_17.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_17.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_7.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_25.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_1.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_23.csv,AGN
C:/Users/23rou/Downloads/blackholedata/agns/smbh_HyperionA.csv,AGN
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_24.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/quiescent_galaxy_Galaxy_21.csv,galaxy
C:/Users/23rou/Downloads/blackholedata/agns/random_sgra_spectrum_29.csv,AGN
